代號,名稱,收盤 ,漲跌,開盤 ,最高 ,最低,均價 ,成交股數  ,成交金額(元),成交筆數 ,最後買價,最後買量(千股),最後賣價,最後賣量(千股),發行股數 ,次日參考價 , 次日漲停價 ,次日跌停價
1325,恆大,"2,916,219","2,071","244,070,897",85,85.1,82.6,83.5,-,2.1,83.5,38,83.6,24,4.97
1326,台化,"4,388,044","2,167","351,951,489",80.5,81.1,79.6,79.9,-,0.6,79.8,184,79.9,37,37.51
1337,再生-KY,"2,794,814","1,130","23,686,189",8.38,8.6,8.35,8.6,+,0.33,8.53,6,8.6,88,0
1338,廣華-KY,"344,294",282,"21,411,446",62.7,62.7,61.9,62.3,-,0.2,62.3,1,62.4,4,22.01
1339,昭輝,"82,030",61,"3,229,177",39.75,39.75,39.15,39.25,-,0.05,39.15,4,39.25,1,25.82
1340,勝悅-KY,"397,530",294,"3,980,105",10.2,10.2,9.98,10.05,-,0.05,9.99,11,10.05,9,0
1341,富林-KY,"15,012",21,"912,430",60.7,60.9,60.7,60.8,-,0.5,60.8,3,61.3,1,11.03
1342,八貫,"20,001",19,"1,137,356",57,57,56.6,56.8, ,0,56.8,1,56.9,3,19.32
1402,遠東新,"6,846,074","2,693","184,130,856",26.7,27.1,26.5,27.05,+,0.2,27,"1,862",27.05,50,16.2
1409,新纖,"3,978,389","1,061","52,032,973",13.2,13.2,13,13,-,0.05,13,926,13.05,81,8.61
1410,南染,"7,519",13,"253,778",33.9,33.95,33.55,33.85,-,0.1,33.6,1,33.7,1,39.82
1413,宏洲,"49,000",24,"389,440",7.92,8,7.9,7.96,+,0.03,7.96,2,7.99,6,0
1414,東和,"537,697",258,"6,899,464",13,13,12.75,12.9,-,0.05,12.8,10,12.9,18,29.32
1416,廣豐,"167,092",208,"1,796,029",10.7,10.8,10.7,10.75,+,0.05,10.7,10,10.75,8,0
1417,嘉裕,"268,974",160,"2,837,957",10.6,10.65,10.5,10.6,+,0.05,10.5,31,10.6,23,37.86
1418,東華,"12,205",18,"87,716",7.24,7.24,7.16,7.16,-,0.68,7.16,1,7.25,1,0
1419,新紡,"50,013",48,"2,018,920",40.25,40.6,40.2,40.45,+,0.2,40.25,3,40.3,2,37.11
1423,利華,"172,808",68,"2,865,837",16.4,16.8,16.25,16.8,+,0.45,16.8,47,16.85,8,0
