代號,名稱,收盤 ,漲跌,開盤 ,最高 ,最低,均價 ,成交股數  ,成交金額(元),成交筆數 ,最後買價,最後買量(千股),最後賣價,最後賣量(千股),發行股數 ,次日參考價 , 次日漲停價 ,次日跌停價
6173,信昌電,61.6,0.7,62.1,62.2,61.3,61.75,"1,176,839","72,669,765",893,61.6,46,61.7,17,"172,000,000",61.6,67.7,55.5
6174,安碁,11.8,0.1,11.7,11.8,11.65,11.68,"43,499","508,183",16,11.65,2,11.8,6,"50,000,000",11.8,12.95,10.65
6175,立敦,32.65,-0.35,33.3,33.3,32.65,32.9,"716,242","23,563,525",463,32.65,30,32.7,7,"136,363,516",32.65,35.9,29.4
6179,亞通,32.05,0.35,32,32.35,31.9,32.07,"78,000","2,501,600",64,32,6,32.05,1,"74,146,731",32.05,35.25,28.85
6180,橘子,63.4,0.7,62.7,63.5,62.7,63.16,"666,307","42,085,237",552,63.3,4,63.4,5,"175,493,573",63.4,69.7,57.1
6182,合晶,38.65,-0.3,39,39.35,38.6,38.81,"5,062,717","196,466,683","2,869",38.65,66,38.7,16,"510,898,436",38.65,42.5,34.8
6185,幃翔,12.55,-0.05,12.6,12.6,12.5,12.53,"136,749","1,714,018",114,12.55,1,12.6,14,"149,867,531",12.55,13.8,11.3
6186,新潤,27.35,-0.15,27.5,27.5,27.35,27.41,"350,842","9,616,126",229,27.35,29,27.4,4,"130,034,408",27.35,30.05,24.65
6187,萬潤,113.5,2,112,114.5,110.5,112.81,"1,422,952","160,529,896","1,051",113.5,10,114,47,"83,323,902",113.5,124.5,102.5
6188,廣明,38.05,0.1,38,38.45,37.85,38.18,"2,172,928","82,961,236",840,38,23,38.05,12,"278,358,910",38.05,41.85,34.25
6190,萬泰科,17.6,0.2,17.6,17.75,17.5,17.63,"1,015,710","17,906,725",419,17.6,6,17.65,32,"140,368,537",17.6,19.35,15.85
6194,育富,33.75,0.05,33.75,33.95,33.3,33.62,"342,316","11,508,983",76,33.6,5,33.75,1,"60,000,000",33.75,37.1,30.4
6195,詩肯,48.65,0.2,48.95,48.95,48.15,48.47,"31,305","1,517,489",30,48.45,10,48.7,1,"46,731,120",48.65,53.5,43.8
6198,凌泰,43.8,-0.05,43.8,43.8,43.8,43.8,"5,009","219,387",11,0,0,43.75,14,"8,135,350",43.8,48.15,39.45
6199,天品,11.4,-0.5,11.4,11.4,11.4,11.4,"1,040","11,852",2,11.35,2,11.9,5,"61,760,018",11.4,12.5,10.3
6203,海韻電,79.8,-0.1,80.8,80.9,79.6,80.19,"513,675","41,192,030",359,79.8,1,79.9,4,"79,953,277",79.8,87.7,71.9
6204,艾華,102,0,102,104,100.5,101.75,"42,790","4,353,895",44,102,1,102.5,1,"23,102,080",102,112,91.8
6207,雷科,26.85,0.2,26.95,27.05,26.75,26.89,"203,629","5,476,444",164,26.85,16,26.9,5,"83,873,589",26.85,29.5,24.2
6208,日揚,42.15,-1.35,43.3,43.45,42,42.61,"3,105,708","132,333,555","1,789",42.15,6,42.2,11,"115,417,471",42.15,46.35,37.95
6210,慶生,38.6,-0.25,38.85,38.85,38.5,38.73,"23,100","894,570",19,38.6,2,38.8,1,"35,048,000",38.6,42.45,34.75
6212,理銘,58.7,0.7,58.7,58.7,58.7,58.7,"2,000","117,400",2,56.6,2,58.7,1,"102,000,000",58.7,64.5,52.9
6217,中探針,34,0.15,34,34.4,33.7,33.99,"710,219","24,141,557",396,33.95,7,34,9,"65,516,435",34,37.4,30.6
6218,豪勉,19.05,0.2,18.85,19.05,18.85,18.87,"17,001","320,868",11,18.85,4,19.05,2,"64,262,000",19.05,20.95,17.15
6219,富旺,18.45,0.3,18,19.05,17.95,18.43,"7,636,455","140,726,288","1,173",18.45,25,18.5,6,"154,016,276",18.45,20.25,16.65
6220,岳豐,24.6,0.15,24.3,24.8,24.3,24.57,"256,685","6,307,079",146,24.55,6,24.6,4,"131,503,642",24.6,27.05,22.15
6221,晉泰,45.15,-0.55,45.75,45.95,45.15,45.38,"251,892","11,431,792",199,45.15,1,45.2,1,"51,032,422",45.15,49.65,40.65
6222,上揚,14.55,0.25,14.5,14.55,14.3,14.43,"5,501","79,364",5,14.3,7,14.6,1,"40,588,878",14.55,16,13.1
6223,旺矽,107.5,1,106.5,108.5,106.5,107.17,"1,400,509","150,094,353","1,111",107.5,9,108,98,"92,080,197",107.5,118,96.8
6227,茂綸,25.3,-0.3,25.75,25.75,25.3,25.4,"154,000","3,911,700",105,25.25,2,25.35,2,"76,111,786",25.3,27.8,22.8
6228,全譜,8.83,-0.39,9.2,9.2,8.6,8.94,"52,032","465,191",34,8.83,1,9.02,1,"37,000,000",8.83,9.71,7.95
6229,研通,26.9,-0.55,27.6,27.85,26.65,27.18,"755,401","20,529,718",471,26.85,3,26.9,3,"35,640,700",26.9,29.55,24.25
6231,系微,89.1,0.9,89,89.2,87.5,88.37,"209,130","18,480,495",204,89.1,16,89.2,1,"38,043,488",89.1,98,80.2
